,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
awardAmount,0.14940266536719626,0.14327113552729925,-4.1040297539720365,0.0518932933283518,0.054841024735978974,0.20934918041776326,0.22577616608072468,7.846692129475175,0.003312583778206473,0.0011625137437240648
TC_TF,-1.1014170698229944,-1.0996515306726926,-0.1602970571888348,0.009309544085465327,0.00909181605857244,-0.43605465617328015,-0.4042427231302306,-7.295400379902857,0.24722443596733512,0.2814190016482454
TC_DG,-1.2742112164988324,-1.2851943136300636,0.8619526330500882,0.005499212737994761,0.004819400532520727,-0.1827891244268834,-0.13327206781332288,-27.089717054456155,0.6354971404764365,0.7275080867653576
TC_TS,-1.4834840755672472,-1.5093503138503106,1.743614151919551,0.005868515243645018,0.004485922680487724,0.008986852929852272,0.091568406165312,918.9151517228316,0.9820388433679854,0.8145555977385959
TC_BE,-0.3110935849885252,-0.3211790464618464,3.2419381047967413,0.5508101744615987,0.5345978912574616,-0.2226907892830613,-0.15559161225283197,-30.131096686239616,0.6589750199349586,0.7556632459803034
TC_RE,-0.30718135430570975,-0.31705127984020265,3.21306140367825,0.464280453589739,0.4437500477065096,0.04448918166771267,0.10184424839565887,128.9191317483161,0.9093158534249013,0.7919572250555618
TC_ME,-1.0909168473519735,-1.1002109660297565,0.8519548213361137,0.06597850819092166,0.06315453640555005,-0.8721321621215652,-0.8350669319820347,-4.2499556545839186,0.11492842828183289,0.12960722766725535
TC_EE,-0.8290877231099685,-0.8448272510349619,1.8984152685259081,0.10984279064899374,0.09954464261464471,-0.22151433557060562,-0.1421869197071626,-35.8114140374261,0.6314843471215768,0.7548118046216306
TC_GR,0.4010422113876657,0.3807218407593574,-5.066890729032443,0.4904810163078187,0.5079340083314878,-0.7047078551990305,-0.6161201712674643,-12.570838153428321,0.2871741368439994,0.3472036659672275
TC_OT,0.9581238131434702,0.946534577303464,-1.2095760152316317,0.25328466389908577,0.2581619292835764,0.0542240222770513,0.11757368494162876,116.82951578342853,0.952911300114346,0.8977408525095413
StartupForProf,0.11632644809659906,0.11255304967205589,-3.2438009466339883,0.7695850940578361,0.7759967968763262,-1.6752479895304453,-1.6510078375086208,-1.446959027756766,0.00017068312677844699,0.00020737798526970682
OtherForProf,-0.4405409182483796,-0.45088672056139173,2.3484316403905767,0.11350770352929689,0.09991985058837409,-0.9267162148592551,-0.8820895118039975,-4.815573779728813,0.0002089259903231331,0.00032713742257872063
middle,0.23603963953777304,0.22409275595065795,-5.061388676287678,0.4223826520427534,0.44209103758794666,0.3445240610776548,0.3764463816379819,9.26562878089721,0.1911529599236068,0.15000436347246088
late,1.070364156504634,1.0777689397442975,0.6918003741684038,0.004930310425226609,0.00444505930388437,1.1699971390033,1.1341518048124073,-3.063711268681277,0.001110211664034289,0.0014909686832156079
