,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
TC_TF,-0.7159492298965275,-0.698942298148401,-2.375438234717346,0.12447362757425665,0.12975195884042648,-0.5481107484550738,-0.5736541547426969,4.660263707584775,0.18223961760900964,0.1633048533143927
TC_DG,-0.7579497552189205,-0.745510178433839,-1.641213906255369,0.12077920962020372,0.12586448486770555,-0.19107019607926393,-0.15999830333841214,-16.262030069808407,0.6427839196207696,0.6987146778829929
TC_TS,-0.9188772864696912,-0.9180565987461905,-0.08931418107567032,0.10713141462624975,0.10622304460739664,-0.02997285227350132,-0.054520139822782566,81.89840367973002,0.9446198731729492,0.8992948993858846
TC_BE,0.04081568807015848,0.05045273189402074,23.61112670034388,0.9441119257663538,0.93053771730402,-0.26702701795991973,-0.3350353591034086,25.46871161692589,0.6288379484509775,0.5449144111529765
TC_RE,0.0034252112704004608,0.029960100951749394,774.6935177591714,0.9943761093372876,0.9506312736357571,-0.08633544374667336,-0.05394958168638451,-37.51166456654337,0.8455505890440875,0.9032828330738818
TC_ME,-0.5740356078843791,-0.5542181298598489,-3.4523081412262937,0.36865966676447093,0.38363633746995496,-0.8148582255831721,-0.7930847528734208,-2.672056564707141,0.1682935678069808,0.18223641567652105
TC_EE,-0.31575095400895525,-0.3127706051750911,-0.943892265731567,0.5756998487518323,0.5790793453637326,-0.21232310538335147,-0.21139869334490338,-0.4353798597562221,0.6711127949840816,0.6723144674126706
TC_GR,0.6294850389635746,0.6223910580353392,-1.126949885880579,0.28890924333279877,0.2921181310163976,-0.7667554367039351,-0.8275007543122117,7.9223849875005214,0.2545414057254588,0.2181298850581046
TC_OT,1.3837393222957886,1.3934911642655208,0.7047455985823077,0.10947453400795636,0.10590162788794674,0.1487948774693004,0.1224465197817866,-17.707839231864707,0.8727916561724334,0.8951439126925946
awardAmount,0.19236955806347145,0.185947370201024,-3.338463698257534,0.022625575794566744,0.02647782464562228,0.12843137132687732,0.11907077918865351,-7.288400054843051,0.09189067840349319,0.11545995606182781
dum09,-1.2017600885974828,-1.1321155214716585,-5.795213852300854,0.33024160747293063,0.3648235041059017,-0.22229455246160718,0.2185615950598998,-198.32071575287384,0.8245199257725937,0.8314524931603827
dum10,-0.6063062908026057,-0.6240369081564096,2.924366384246607,0.22184935793027438,0.20800389904330918,0.6521099251129476,0.7495740801014569,14.945970186181128,0.1332430088337387,0.08633415797889636
dum11,-40.15561631620232,-43.36615854899095,7.9952507950755,0.9999998553174486,0.9999999687290843,0.6636940529961486,0.7058101368739952,6.345707587361943,0.2713319192700445,0.24391636233444935
dum12,-0.031141081698371424,-0.04385734693980194,40.83437230793283,0.950379328237637,0.9298806841646352,0.9171773615358079,0.999289245731584,8.952672366256428,0.04493921058292316,0.029540822409732062
dum13,-0.3042094112109915,-0.3097654144842271,1.8263745526867141,0.507094565522076,0.49836726244715446,0.6287768035490734,0.7624456137122197,21.258546658951943,0.12438997195666296,0.06387278411482306
dum14,-0.6548957760424037,-0.682648038353639,4.237660911320088,0.22072337042764323,0.19943195831905192,0.4471504226755961,0.48738605367177096,8.998231681280428,0.3230925752839916,0.2820637155933584
dum15,0.30609183509450555,0.2811071250341454,-8.162488245609728,0.5822184704662283,0.6126238524320311,1.0001699382321876,1.0980842917684264,9.789771697128149,0.05875737851873183,0.038681434140921185
dum16,0.6392304366706354,0.6036438160627189,-5.567103593074461,0.3107273813661534,0.33646302402211015,1.675604193812179,1.6783167907528465,0.16188769106001938,0.0035937750757782543,0.003498017441428076
