,big_param_persist,big_param_pivot,small_param_persist,small_param_pivot,persistComps,pivotComps
TC_TF,-0.7159492298965275,-0.5481107484550738,-0.5144413254741969,0.01948865980423429,-28.145557814407255,-103.5556062089944
TC_DG,-0.7579497552189205,-0.19107019607926393,-0.6968192040680045,0.35950859608977054,-8.065251123837298,-288.1552452799239
TC_TS,-0.9188772864696912,-0.02997285227350132,-0.8881953511028312,0.37381785942638085,-3.3390677752781808,-1347.1881421738071
TC_BE,0.04081568807015848,-0.26702701795991973,0.2764648875370823,0.38844723671028325,577.3495697582365,-245.47113609626894
TC_RE,0.0034252112704004608,-0.08633544374667336,0.21981134208508188,0.5242469586953895,6317.453544679668,-707.221016010113
TC_ME,-0.5740356078843791,-0.8148582255831721,-0.5449580490599188,-0.25918120375496867,-5.065462564530843,-68.19309229289799
TC_EE,-0.31575095400895525,-0.21232310538335147,-0.23298694046518223,0.3019457639978219,-26.211801577462754,-242.21050669575308
TC_GR,0.6294850389635746,-0.7667554367039351,0.928080240013289,-0.0721592941824272,47.43483682175214,-90.58900782071795
TC_OT,1.3837393222957886,0.1487948774693004,1.563007904424003,0.896718602619532,12.955372391295967,502.65421624110974
SmallForProf,-0.24865528017444763,-1.1579203769729087,-0.17339228553653765,-1.0220653667441286,-30.268005805108242,-11.732672896208875
LargeForProf,-0.0777922955341624,-0.4565017188234469,-0.006322158677666127,-0.3278627907712856,-91.87302722685467,-28.179286681264987
awardAmount,0.19236955806347145,0.12843137132687732,0.21811878970372317,0.16409983804642334,13.38529437789522,27.772394198582806
