Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
OPEN 2009,The Ohio State University,ALUMNI,Non-profit,4/1/10,9/30/14,Resource Efficiency,Syngas into Fuel,Pivot,"They tested at the NCCC facility, had some early projects with Southern Co presumably to use their coal syngas but syngas production still an issue"
OPEN 2009,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,2/1/11,9/30/16,Storage,Cost-Effective Solar Thermal Energy Storage,Pivot,Not doing supercritical thermal storage sulfur
OPEN 2009,University of Delaware (UD),ALUMNI,Non-profit,2/15/10,9/30/13,Transportation Vehicles,High-Energy Composite Permanent Magnets,Perish,"Possible to make the nanoparticles, but assmebly into full magnets is tough"
OPEN 2009,University of Delaware (UD),ALUMNI,Non-profit,2/15/12,12/31/14,Distributed Generation,Affordable Hydrogen Fuel Cell Vehicles,Pivot,Lots of fuel cell work in different areas
OPEN 2009,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,3/1/10,8/31/12,Resource Efficiency,Silicon-Based Thermoelectrics,Perish,"Listed as past project, partner is a healthcare company"
OPEN 2009,University of Minnesota (UMN),ALUMNI,Non-profit,1/1/10,8/31/12,Transportation Fuels,Biofuel from Bacteria and Sunlight,Perish,"biofuels not listed as a current project, seems to have pivoted to other applications"
OPEN 2009,EaglePicher Technologies,CANCELLED,For-profit,2/1/10,3/31/16,Storage,Sodium-Beta Batteries for Grid-Scale Storage,Pivot,
OPEN 2009,Inorganic Specialists,CANCELLED,For-profit,12/1/09,11/3/11,Transportation Storage,Long-Range Li-Ion Batteries for Electric Vehicles,Perish,
OPEN 2009,Iowa State University (ISU),CANCELLED,Non-profit,1/15/10,10/14/11,Transportation Fuels,Optimized Breeding of Microalgae for Biofuels,Perish,
OPEN 2009,Kohana Technologies,CANCELLED,For-profit,3/8/13,10/1/17,Distributed Generation,Dynamically Adjustable Wind Turbine Blades,Persist,
OPEN 2009,Nalco,CANCELLED,For-profit,1/18/10,10/13/11,Resource Efficiency,Using Enzymes to Capture CO2 in Smokestacks,Perish,Nothing about enzymes/CO2 capture
OPEN 2009,NanOasis Technologies,CANCELLED,For-profit,1/1/10,10/14/11,Resource Efficiency,Use of Carbon Nanotubes for Efficient Reverse Osmosis,Perish,
OPEN 2009,Pennsylvania State University (Penn State),CANCELLED,Non-profit,12/14/09,7/9/10,Transportation Fuels,Solar Conversion of CO2 and Water Vapor to Hydrocarbon Fuels,Perish,Fraud
OPEN 2009,United Technologies Research Center (UTRC),CANCELLED,For-profit,12/15/09,1/9/12,Resource Efficiency,Using Synthetic Enzymes for Carbon Capture,Perish,Nothing on their website
OPEN 2012,Adaptive Surface Technologies,ACTIVE,For-profit,4/26/13,9/7/19,Transportation Fuels,Slippery Coatings to Promote Energy Conversion,,
OPEN 2012,Case Western Reserve University,ACTIVE,Non-profit,1/9/13,2/11/19,Storage,All-Iron Flow Battery,,
OPEN 2012,Alveo Energy,ALUMNI,For-profit,2/21/13,3/31/16,Storage,Prussian Blue Dye Batteries,Persist,rebrand
OPEN 2012,Applied Materials,ALUMNI,For-profit,6/1/13,9/30/16,Centralized Generation,Low-Cost Silicon Wafers for Solar Modules,Persist,
OPEN 2012,Arizona State University (ASU),ALUMNI,Non-profit,3/12/13,2/28/17,Resource Efficiency,Electrochemical Carbon Capture,Pivot,"not terribly out of date research, but has tried several different chemistries over time"
OPEN 2012,Bio2Electric,ALUMNI,For-profit,2/1/13,12/31/18,Transportation Fuels,Electrogenerative Gas-to-Liquid Reactor,Persist,"brought in outside parnters, licensed tech"
OPEN 2012,Brown University,ALUMNI,Non-profit,3/20/13,5/31/17,Distributed Generation,Customized Tidal Power Conversion Devices,Perish,"They didn't seem to hit their cost target, no ongoing work"
OPEN 2012,California Institute of Technology (Caltech),ALUMNI,Non-profit,3/28/13,9/27/16,Distributed Generation,Improving Solar Generation Efficiency with Solar Modules,Pivot,"$1/W, 50% efficiency"
OPEN 2012,Ceramatec,ALUMNI,For-profit,2/1/13,3/31/17,Transportation Storage,Mid-Temperature Fuel Cells for Vehicles,Pivot,Subsidiary of coorstek
OPEN 2012,Ceramatec,ALUMNI,For-profit,2/1/13,2/15/15,Resource Efficiency,"A One-Step, Gas-to-Liquid Chemical Converter",Perish,
OPEN 2012,Colorado State University (CSU),ALUMNI,Non-profit,4/4/13,10/3/15,Transportation Fuels,More Options for Bioenergy Crops,Pivot,"Pretty limited work on biofuels, focused on crops broadly"
OPEN 2012,Cornell University,ALUMNI,Non-profit,2/1/13,5/1/14,Transportation Fuels,Efficient Photobioreactor for Algae-Based Fuel,Perish,a few publications (last in 2015) no students/post docs working on it
OPEN 2012,Dioxide Materials,ALUMNI,For-profit,2/1/13,3/6/17,Resource Efficiency,Converting CO2 into Fuel and Chemicals,Pivot,Focusing on smaller markets first
OPEN 2012,Electron Energy Corporation (EEC),ALUMNI,For-profit,4/15/13,2/14/17,Transportation Vehicles,New Processing Technology for Permanent Magnets,Pivot,Seems like the main guy left?
OPEN 2012,eNova,ALUMNI,For-profit,5/1/13,2/17/14,Resource Efficiency,Waste Heat-Powered Gas Compressor,Perish,
OPEN 2012,Evolva,ALUMNI,For-profit,4/11/13,9/30/16,Transportation Fuels,High Performance Aviation Fuels from Terpenes,Pivot,
OPEN 2012,Gas Technology Institute (GTI),ALUMNI,Non-profit,1/1/13,9/30/15,Transportation Fuels,Efficient Natural Gas-to-Methanol Conversion,Pivot,"other, similar projects funded more recently through NETL"
OPEN 2012,General Electric (GE) Global Research,ALUMNI,For-profit,4/30/13,7/31/17,Grid,High-Power Gas Tube Switches,Persist,
OPEN 2012,Georgia Tech Research Corporation,ALUMNI,Non-profit,4/17/13,10/17/16,Distributed Generation,High-Efficiency Solar Fuel Reactor,Perish,"No one's licensed it, research is for CSP, not solar fuels"
OPEN 2012,Georgia Tech Research Corporation,ALUMNI,Non-profit,3/20/13,3/19/16,Transportation Storage,Graphene-Based Supercapacitors,Perish,
OPEN 2012,Georgia Tech Research Corporation,ALUMNI,Non-profit,5/3/13,9/30/16,Distributed Generation,Power Generation Using Solar-Heated Ground Air,Perish,
OPEN 2012,Glint Photonics,ALUMNI,For-profit,4/1/13,3/31/17,Distributed Generation,Self-Tracking Concentrator Photovoltaics,Perish,They make interior lighting now?
OPEN 2012,Grid Logic,ALUMNI,For-profit,3/5/13,6/4/16,Electrical Efficiency,High-Power Superconductors,Perish,Doesn't seem like they're doing antying with this
OPEN 2012,Harvard University,ALUMNI,Non-profit,2/1/13,3/25/17,Storage,Organic Flow Battery for Energy Storage,Pivot,
OPEN 2012,HexaTech,ALUMNI,For-profit,2/5/13,5/31/16,Grid,Semiconductors that Improve Electricity Flow,Persist,they seem like a thing you can buy
OPEN 2012,Integral Consulting,ALUMNI,For-profit,4/5/13,8/31/17,Distributed Generation,Measuring Real-Time Wave Data with Ocean Wave Buoy,Persist,
OPEN 2012,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,6/1/13,12/31/14,Resource Efficiency,"Scalable, Low-Power Water Treatment System",Perish,Working on seawater desalination
OPEN 2012,National Renewable Energy Laboratory (NREL),ALUMNI,Non-profit,2/1/13,12/30/18,Distributed Generation,Solar Thermoelectric Generator,Pivot,Different materials
OPEN 2012,National Renewable Energy Laboratory (NREL),ALUMNI,Non-profit,2/1/13,4/30/14,Electrical Efficiency,Efficient Plastic Solar Cells,Pivot,
OPEN 2012,Otherlab,ALUMNI,For-profit,2/19/13,9/30/17,Distributed Generation,Small Mirrors for Solar Power Tower Plants,Pivot,
OPEN 2012,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,4/12/13,7/17/16,Grid,Real-Time Transmission Optimization,Persist,This is a think you can use
OPEN 2012,Palo Alto Research Center (PARC),ALUMNI,For-profit,3/1/13,6/11/14,Transportation Storage,Innovative Manufacturing Process for Li-Ion Batteries,Persist,
OPEN 2012,Plant Sensory Systems (PSS),ALUMNI,For-profit,3/15/13,6/14/17,Transportation Fuels,Better Biofuel Feedstock from Beets,Persist,
OPEN 2012,PolyPlus Battery Company,ALUMNI,For-profit,2/6/13,3/31/16,Storage,"Low-Cost, High-Performance Lithium-Sulfur Batteries",Pivot,Not doing lithium-sulfur
OPEN 2012,Pratt & Whitney Rocketdyne (PWR),ALUMNI,For-profit,6/14/13,3/15/15,Distributed Generation,Continuous Detonation Engine Combustors,Pivot,test only lasted 7s
OPEN 2012,Pratt & Whitney Rocketdyne (PWR),ALUMNI,For-profit,5/1/13,3/15/16,Transportation Fuels,Efficient Conversion of Natural Gas,Pivot,
OPEN 2012,RamGoss,ALUMNI,For-profit,2/11/13,8/10/14,Grid,High-Performance Transistors,Perish,
OPEN 2012,Rensselaer Polytechnic Institute (RPI),ALUMNI,Non-profit,3/7/13,3/6/16,Grid,High-Power Transistor Switch,Pivot,No pubs directly tied to project
OPEN 2012,Research Triangle Institute (RTI),ALUMNI,Non-profit,3/15/13,6/30/17,Transportation Fuels,Compact Inexpensive Reformers for Natural Gas,Perish,"No recent pubs, still not economical, no licensee"
OPEN 2012,Sharp Laboratories of America,ALUMNI,For-profit,3/28/13,3/27/16,Storage,Sodium-Based Energy Storage,Perish,"Nothing specific on website, can't find a patent"
OPEN 2012,Stanford University,ALUMNI,Non-profit,2/20/13,3/19/18,Building Efficiency,Radiative Coolers for Rooftops and Cars,Pivot,"no real market, just research"
OPEN 2012,Tai-Yang Research Company (TYRC),ALUMNI,For-profit,2/15/13,3/6/17,Transportation Storage,"High-Power, Low-Cost Superconducting Cable",Perish,Nothing on the website
OPEN 2012,Teledyne Scientific & Imaging,ALUMNI,For-profit,2/4/13,1/31/14,Storage,High Energy Density Potassium-Based Flow Battery,Perish,Nothing about potassium flow batteries
OPEN 2012,Texas Engineering Experiment Station (TEES),ALUMNI,Non-profit,4/1/13,9/30/15,Distributed Generation,Electricity from Low-Temperature Waste Heat,Perish,"No publictions, nothing on website"
OPEN 2012,United Technologies Research Center (UTRC),ALUMNI,For-profit,2/12/13,3/31/16,Manufacturing Efficiency,Additive Manufacturing for Electric Vehicle Motors,Pivot,"Still pretty researchy, no specific product"
OPEN 2012,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,4/8/13,11/30/16,Building Efficiency,Rapid Building Energy Modeler - RAPMOD,Persist,
OPEN 2012,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,3/1/13,6/30/18,Grid,Measuring Phase Angle Change in Power Lines,Persist,
OPEN 2012,"University of California, Santa Barbara (UCSB)",ALUMNI,Non-profit,3/15/13,6/30/16,Transportation Storage,Boosted Capacitors,Pivot,"Lots of research, little/no development in transportation sector"
OPEN 2012,University of Delaware (UD),ALUMNI,Non-profit,1/9/13,3/6/17,Storage,High-Storage Double-Membrane Flow Battery,Pivot,same guy has several projects for different techs
OPEN 2012,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,4/5/13,8/31/16,Grid,Power Grid Security,Persist,seems very researchy
OPEN 2012,University of Minnesota (UMN),ALUMNI,Non-profit,3/22/13,9/21/16,Resource Efficiency,Ultra-Thin Membranes for Biofuels Production,Pivot,"lots of membrane research, very little on commercialization/applications"
OPEN 2012,"University of Nevada, Las Vegas (UNLV)",ALUMNI,Non-profit,2/14/13,2/13/16,Transportation Storage,Fire-Resistant Solid Electrolytes,Pivot,
OPEN 2012,University of North Dakota Energy & Environmental Research Center (UND-EERC),ALUMNI,Non-profit,4/1/13,6/30/14,Resource Efficiency,Water-Efficient Power Generation,Pivot,
OPEN 2012,University of Pittsburgh,ALUMNI,Non-profit,5/1/13,4/30/16,Resource Efficiency,CO2 Thickeners for Enhanced Oil and Gas Recovery,Persist,Is GE actually selling/using?
OPEN 2012,University of Southern California (USC),ALUMNI,Non-profit,3/1/13,3/19/18,Storage,"Inexpensive, Metal-free, Organic Flow Battery",Pivot,"Research, but partner still only doing vanadium redox"
OPEN 2012,University of Tennessee (UT),ALUMNI,Non-profit,2/1/13,7/31/16,Transportation Fuels,High Throughput Bioengineering of Switchgrass,Pivot,Multiple rounds of funding for slightly different projects
OPEN 2012,University of Texas at Austin (UT Austin),ALUMNI,Non-profit,3/28/13,9/26/16,Building Efficiency,Smart Window Coatings,Pivot,
OPEN 2012,University of Washington (UW),ALUMNI,Non-profit,2/1/13,6/30/16,Transportation Fuels,Microbe-Based Methane to Diesel Conversion,Pivot,Lanzatech (partner) redesigned digester
OPEN 2012,Vorbeck Materials,ALUMNI,For-profit,3/6/13,6/5/15,Transportation Vehicles,"High-Performance, Low-Cost Lithium-Sulfur Batteries",Perish,"Nothing in energy, no batteries"
OPEN 2012,Yale University,ALUMNI,Non-profit,4/24/13,12/31/15,Resource Efficiency,Closed-Loop System Using Waste Heat for Electricity,Perish,
OPEN 2012,General Electric (GE) Power & Water,CANCELLED,For-profit,5/1/13,12/31/14,Distributed Generation,Fabric-Based Wind Turbine Blades,Pivot,Making bigger regular turbines
OPEN 2012,MicroLink Devices,CANCELLED,For-profit,3/20/13,9/1/15,Distributed Generation,High-Efficiency Solar Cells,Pivot,"They got another grant as part of FOCUS program, specifically trying to focus on high-temp operations"
OPEN 2012,Silicon Power,CANCELLED,For-profit,5/15/13,8/10/15,Grid,Optical Switches for High-Power Systems,Perish,"bought original company, not offering product specified"
OPEN 2012,"University of California, Santa Cruz (UC Santa Cruz)",CANCELLED,Non-profit,5/1/13,12/31/14,Distributed Generation,Efficient Collection of Concentrated Solar,Perish,One publication? Neither partner seems to be making tech.
OPEN 2012,"University of Colorado, Boulder (CU-Boulder)",CANCELLED,Non-profit,5/1/13,6/29/17,Transportation Fuels,Small-Scale Reactors for Natural Gas Conversion,Perish,"got a patent out of this, but now working mostly on metals?"
OPEN 2012,University of Wisconsin-Madison (UW-Madison),CANCELLED,Non-profit,2/12/13,5/31/14,Transportation Fuels,"Turning Sunlight, CO2, and Water into Fuel",Pivot,"still doing catalysis work, but catalysts are all over the place"
OPEN 2015,Achates Power,ACTIVE,,4/1/16,4/13/19,Transportation Vehicles,Efficient Engine Design,,
OPEN 2015,Case Western Reserve University,ACTIVE,Non-profit,5/10/16,5/9/19,Building Efficiency,Virtual Building Energy Audits,,
OPEN 2015,Colorado State University (CSU),ACTIVE,Non-profit,5/5/16,8/20/19,Building Efficiency,Heat-Reflective Window Coating,,
OPEN 2015,Dioxide Materials,ACTIVE,,2/1/16,1/31/19,Grid,High-Efficiency Hydrogen Production,,
OPEN 2015,General Electric (GE) Global Research,ACTIVE,For-profit,5/10/16,5/9/19,Electrical Efficiency,Silicon Carbide Superjunction,,
OPEN 2015,Marine BioEnergy,ACTIVE,,6/6/16,6/5/19,Transportation Fuels,Biofuel Production from Kelp,,
OPEN 2015,National Renewable Energy Laboratory (NREL),ACTIVE,Non-profit,4/22/16,4/21/19,Distributed Generation,High-Efficiency PV Cells,,
OPEN 2015,Newton Energy Group,ACTIVE,,4/11/16,4/19/19,Grid,Gas-Electric Co-Optimization,,
OPEN 2015,Oak Ridge National Laboratory (ORNL),ACTIVE,Non-profit,4/5/16,4/14/19,Manufacturing Efficiency,Robust Metal Alloys,,
OPEN 2015,Oak Ridge National Laboratory (ORNL),ACTIVE,Non-profit,5/1/16,9/30/20,Distributed Generation,High-Efficiency Energy Converters,,
OPEN 2015,Ocean Renewable Power Company (ORPC),ACTIVE,,4/1/16,3/31/19,Distributed Generation,Marine Hydrokinetic Turbine,,
OPEN 2015,Oregon State University (OSU),ACTIVE,Non-profit,5/16/16,5/15/19,Transportation Fuels,Natural Gas to Fuels,,
OPEN 2015,Pacific Northwest National Laboratory (PNNL),ACTIVE,Non-profit,7/19/16,8/29/19,Grid,Power-Grid Optimization,,
OPEN 2015,Pajarito Powder,ACTIVE,,5/1/16,4/30/19,Transportation Vehicles,High-Efficiency Hydrogen Production,,
OPEN 2015,ProsumerGrid,ACTIVE,,6/1/16,5/30/19,Grid,Distribution Operator Simulation Studio,,
OPEN 2015,Proton Energy Systems,ACTIVE,,5/6/16,5/5/19,Distributed Generation,Energy Conversion and Storage System,,
OPEN 2015,RedWave Energy,ACTIVE,,5/26/16,5/25/19,Distributed Generation,Electricity from Waste-Heat Harvesting,,
OPEN 2015,Starfire Energy,ACTIVE,,3/1/16,5/28/19,Transportation Fuels,Efficient Ammonia Production,,
OPEN 2015,Texas A&M Agrilife Research,ACTIVE,Non-profit,4/13/16,4/12/19,Transportation Fuels,Radar for Bioenergy Crop Imaging,,
OPEN 2015,"University of California, Santa Barbara (UCSB)",ACTIVE,Non-profit,4/7/16,4/6/19,Electrical Efficiency,High-Efficiency Data Transfer,,
OPEN 2015,"University of California, Santa Barbara (UCSB)",ACTIVE,Non-profit,4/14/16,10/13/19,Electrical Efficiency,Laser-Based Solid State Lighting,,
OPEN 2015,"University of Illinois, Urbana-Champaign (UIUC)",ACTIVE,Non-profit,4/1/16,9/30/19,Transportation Fuels,Biomass Water Efficiency,,
OPEN 2015,University of Michigan,ACTIVE,Non-profit,6/9/16,7/14/19,Transportation Storage,"Low-Cost, Robust Battery",,
OPEN 2015,University of Michigan,ACTIVE,Non-profit,7/14/16,7/13/19,Transportation Vehicles,Enhanced Engine Improvements,,
OPEN 2015,University of New Mexico,ACTIVE,Non-profit,3/22/16,5/22/19,Storage,Efficient Ammonia Production,,
OPEN 2015,University of Tennessee (UT),ACTIVE,Non-profit,2/4/16,2/3/20,Transportation Fuels,Advanced Bioengineering for Biofuels,,
OPEN 2015,University of Tennessee (UT),ACTIVE,Non-profit,6/24/16,6/23/19,Grid,Smart and Flexible Microgrid,,
OPEN 2015,University of Virginia (UVA),ACTIVE,Non-profit,4/1/16,3/31/19,Distributed Generation,Ultra-Large Wind Turbine,,
OPEN 2015,Vanderbilt University,ACTIVE,Non-profit,4/4/16,4/3/19,Grid,Software for Smarter Grids,,
OPEN 2015,Boston Electrometallurgical Corporation,ALUMNI,For-profit,5/5/16,7/31/18,Manufacturing Efficiency,High-Efficiency Titanium Production,Pivot,Another Sadoway project
OPEN 2015,Cummins Corporate Research & Technology,ALUMNI,For-profit,2/9/16,8/8/18,Distributed Generation,High-Efficiency Engines,Persist,
OPEN 2015,Gas Technology Institute (GTI),ALUMNI,For-profit,3/1/16,2/28/18,Manufacturing Efficiency,Reactor Engine,Perish,"A few publications, but doesn't seem to be all that efficient. All simulated, some validation"
OPEN 2015,Princeton Optronics,ALUMNI,For-profit,2/26/16,9/30/17,Electrical Efficiency,High-Efficiency Data Transfer,Perish,Bought by AMS in 2017
OPEN 2015,Stanford University,ALUMNI,Non-profit,6/1/16,12/31/18,Distributed Generation,High-Efficiency Energy Converters,Pivot,"Tech seems similar, but not much movement on initial market"
OPEN 2015,The Mackinac Technology Company,ALUMNI,For-profit,4/1/16,3/31/18,Building Efficiency,Single Pane Window Retrofit System,Pivot,
OPEN 2015,Accio Energy,EXCLUDE,For-profit,4/1/16,3/31/17,Distributed Generation,New Option for Wind Energy,Perish,
OPEN 2015,INFINIUM,EXCLUDE,For-profit,2/5/16,5/19/17,Manufacturing Efficiency,Low-Energy Magnesium Recycling,Pivot,Seem to be doing more with lithium-ion battery recycling
OPEN 2015,Iowa State University (ISU),EXCLUDE,Non-profit,6/1/16,6/30/18,Distributed Generation,"Low-Cost, Robust Battery",Pivot,"Solid power is doing lithium metal, not sodium"
OPEN 2015,Tibbar Technologies,EXCLUDE,For-profit,5/2/16,8/29/17,Distributed Generation,Plasma-Based Electrical Transformers,Perish,"Still doing plasma stuff, but for fusion research"
ADEPT,Arkansas Power Electronics International (APEI),ALUMNI,For-profit,9/14/10,3/31/14,Electrical Efficiency,"Powerful, Efficient Electric Vehicle Chargers",Persist,(category 2)
ADEPT,Case Western Reserve University,ALUMNI,Non-profit,9/1/10,11/30/12,Electrical Efficiency,Titanium-Alloy Power Capacitor,Perish,"Partner company has no titanium products, basically no research (nothing recent)"
ADEPT,Center for Power Electronics Systems (CPES) at Virginia Tech,ALUMNI,Non-profit,9/1/10,7/31/14,Electrical Efficiency,Voltage Regulator Chip,Persist,
ADEPT,Center for Power Electronics Systems (CPES) at Virginia Tech,ALUMNI,Non-profit,9/1/10,11/30/13,Electrical Efficiency,Integrated Power Adapter,Pivot,
ADEPT,City University of New York (CUNY) Energy Institute,ALUMNI,Non-profit,9/2/10,2/28/14,Electrical Efficiency,Metacapacitors for LED Lighting,Perish,"Website doesn't work, none? of the authors workign on it"
ADEPT,Cree,ALUMNI,For-profit,9/1/10,12/31/14,Electrical Efficiency,Utility-Scale Silicon Carbide Power Transistors,Pivot,Category 3
ADEPT,GeneSiC Semiconductor,ALUMNI,For-profit,9/1/10,2/28/13,Electrical Efficiency,Utility-Scale Silicon Carbide Semiconductor,Pivot,
ADEPT,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,2/28/14,Electrical Efficiency,"Compact, Low-Profile Power Converters",Perish,"Listed as a past project, nothing listed on georgia tech tech transfer website"
ADEPT,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,1/31/13,Electrical Efficiency,Utility-Scale Power Router,Pivot,I think this got rolled into Varentec?
ADEPT,HRL Laboratories,ALUMNI,For-profit,10/1/10,6/30/14,Electrical Efficiency,"Compact, Interactive Electric Vehicle Charger",Pivot,"Seems like some of the stuff made it into GM cars, but no bidirectional charging, efficiencies are lower"
ADEPT,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,9/1/10,12/31/13,Electrical Efficiency,Advanced Power Electronics for LED Drivers,Persist,"Hit targets, founded spinoffs"
ADEPT,Teledyne Scientific & Imaging,ALUMNI,For-profit,10/1/10,7/31/13,Electrical Efficiency,Chip-Scale Power Conversion for LED Lighting,Perish,"They definitely aren't doing the applications they specified in the target, seem to be out of the energy technology game"
ADEPT,Transphorm,ALUMNI,For-profit,9/1/10,5/28/13,Electrical Efficiency,Transistors for Electric Motor Drives,Persist,
ADEPT,General Electric (GE) Global Research,CANCELLED,For-profit,1/1/11,7/17/12,Electrical Efficiency,Scalable Thick-Film Magnetics,Perish,"Can't find anything at GE, seems like research direction changed at Dartmouth?"
ALPHA,Los Alamos National Laboratory (LANL),ACTIVE,Non-profit,8/1/15,4/30/19,Centralized Generation,Plasma Liners For Fusion,,
ALPHA,"Magneto-Inertial Fusion Technologies, Inc. (MIFTI)",ACTIVE,,10/1/15,3/31/19,Centralized Generation,Staged Z-Pinch Target For Fusion,,
ALPHA,Swarthmore College,ACTIVE,Non-profit,9/28/15,7/31/19,Centralized Generation,Plasma Accelerator on the SSX,,
ALPHA,University of Washington (UW),ACTIVE,Non-profit,8/24/15,3/31/19,Centralized Generation,Flow Z-Pinch for Fusion,,
ALPHA,California Institute of Technology (Caltech),ALUMNI,Non-profit,10/1/15,12/31/18,Centralized Generation,Heating and Compression Mechanisms for Fusion,Perish,"it worked, but doesn't provide enough info for MIF experiments"
ALPHA,Helion Energy,ALUMNI,For-profit,9/30/15,9/29/18,Centralized Generation,Compression of FRC Targets for Fusion,Pivot,"Missed performance targets, building another, bigger prototype"
ALPHA,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,8/1/15,6/30/18,Centralized Generation,MEMS Based Drivers For Fusion,Pivot,Part of OPEN 2018+ Nuclear cohort
ALPHA,NumerEx,ALUMNI,For-profit,10/1/15,10/31/18,Centralized Generation,Stabilized Liner Compressor For Low-Cost Fusion,Pivot,Ran out of money?
ALPHA,Sandia National Laboratories,ALUMNI,Non-profit,8/15/15,11/24/18,Centralized Generation,Magnetization and Heating Tools for Low-Cost Fusion,Persist,
AMPED,Feasible,ACTIVE,For-profit,8/23/17,8/22/19,Storage,Sound Wave-Enabled Battery Analysis,,
AMPED,Battelle Memorial Institute,ALUMNI,Non-profit,11/1/12,9/30/14,Storage,Optical Fault Sensors for Lithium-Ion Batteries,Pivot,
AMPED,Det Norske Veritas (DNV KEMA),ALUMNI,For-profit,10/1/12,4/1/15,Storage,Gas-Based Battery Monitoring System,Persist,"Seems like the technology is the same, even if there is relatively little data re: targets"
AMPED,Eaton Corporation,ALUMNI,For-profit,1/1/13,3/31/16,Storage,Advanced Battery Management for Hybrid Vehicles,Pivot,"Lots of research with NREL, but no products for hybrids (all stationary)"
AMPED,Ford Motor Company,ALUMNI,For-profit,1/1/13,3/31/16,Storage,Ultra-Precise Battery Tester,Persist,
AMPED,General Electric (GE) Global Research,ALUMNI,For-profit,1/1/13,12/31/16,Storage,Thin-Film Temperature Sensors for Batteries,Pivot,"got bought, won a bunch of awards, but nothing on website"
AMPED,Lawrence Livermore National Laboratory (LLNL),ALUMNI,Non-profit,10/1/12,9/30/15,Storage,Wireless Sensor System for Battery Packs,Perish,"Polystor (a partner) is out of business, no one licensing patent"
AMPED,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,10/1/12,2/15/15,Storage,Temperature-Regulated Batteries,Pivot,"No one seems to be using this, different research direction"
AMPED,Palo Alto Research Center (PARC),ALUMNI,For-profit,10/1/12,3/6/17,Storage,Embedded Fiber Optic Sensing System for Battery Packs,Persist,
AMPED,Pennsylvania State University (Penn State),ALUMNI,Non-profit,1/1/13,3/31/16,Storage,Reconfigurable Battery Packs,Pivot,"Seems to do a lot of controls research, but no product/spinnoff/actual arpa-e attribution"
AMPED,Robert Bosch,ALUMNI,For-profit,1/1/13,3/6/17,Storage,Battery Management and Control Software,Pivot,different performance targets
AMPED,Southwest Research Institute (SwRI),ALUMNI,Non-profit,10/1/12,2/15/15,Storage,Sensor Technology for Lithium-Ion Batteries,Perish,"some patents, but tech lead left to do ai for building mgmt systems"
AMPED,University of Washington (UW),ALUMNI,Non-profit,1/1/13,12/31/18,Storage,Optimal Battery Management System,Perish,"Last update was in 2017, he's moving to different university?"
AMPED,Utah State University (USU),ALUMNI,Non-profit,1/1/13,4/6/17,Storage,Dynamic Cell-Level Control for Battery Packs,Persist,
AMPED,Gayle Technologies,CANCELLED,For-profit,10/1/12,12/31/14,Storage,"Laser-Guided, Ultrasonic Battery Monitoring",Perish,
ARID,Applied Research Associates (ARA),ACTIVE,,9/1/15,2/28/19,Resource Efficiency,Cooling Using Thermochemical Cycle,,
ARID,Colorado State University (CSU),ACTIVE,Non-profit,11/10/15,5/9/19,Resource Efficiency,Ultra-Efficient Turbo-Compression Cooling,,
ARID,Electric Power Research Institute (EPRI),ACTIVE,,8/19/15,2/18/19,Resource Efficiency,Enhanced Air-Cooled Heat Exchanger,,
ARID,The Boeing Company,ACTIVE,For-profit,3/17/16,6/30/19,Resource Efficiency,Additive Manufacturing for Heat Exchangers,,
ARID,The State University of New York (SUNY) at Stony Brook,ACTIVE,Non-profit,8/23/15,2/22/19,Resource Efficiency,Water Recovery for Cooling,,
ARID,University of Cincinnati (UC),ACTIVE,Non-profit,9/8/15,3/7/19,Resource Efficiency,Air-Cooled Condenser and Storage System,,
ARID,University of Maryland (UMD),ACTIVE,Non-profit,9/1/15,2/28/19,Resource Efficiency,Advanced Heat Exchangers,,
ARID,University of Wisconsin-Madison (UW-Madison),ACTIVE,Non-profit,10/1/15,6/30/19,Resource Efficiency,Advanced Heat Exchangers,,
ARID,Advanced Cooling Technologies (ACT),ALUMNI,For-profit,8/15/15,12/31/18,Resource Efficiency,Cool Storage for Supplemental Cooling,Pivot,"Some research papers for power generator applications, but in 2018 aquired a pumped two-phase cooling business for industrial and defense power electronics"
ARID,General Electric (GE) Global Research,ALUMNI,For-profit,9/1/15,3/2/17,Resource Efficiency,Absorption Heat Pump,Pivot,"sort of related patent, but couldn't find any products online"
ARID,Palo Alto Research Center (PARC),ALUMNI,For-profit,8/6/15,5/5/17,Resource Efficiency,Radiative Film for Supplemental Cooling,Perish,"PARC has some patents, but its not clear that their implementation partner is actually making this stuff, main research guy at parc left"
