,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
awardAmount,0.18696520822660936,0.14332781599368308,-23.33984629912321,0.016840419584612878,0.05450032779891757,0.23871870288357666,0.22610724593289094,-5.28297816565983,0.0010700332320131793,0.0011363777006819823
TC_TF,-1.0572142392904758,-1.0930968383545294,3.3940707314096925,0.0154670826253768,0.010409834670531404,-0.3769492260282621,-0.3868252685536792,2.6199927850963842,0.3295826120675548,0.30999049270304224
TC_DG,-1.2017209123622874,-1.2787480547388625,6.409736369250558,0.011312097736576964,0.005661174221735651,-0.0953879474395762,-0.11419122428156807,19.71242420736946,0.8096936772796615,0.7692283431011081
TC_TS,-1.283323799395644,-1.5056936865486417,17.32765240212318,0.019526861745379077,0.00468925305956191,0.1369744310720728,0.10160407977123777,-25.822594059342332,0.7375317042889105,0.7955900232886995
TC_BE,-0.21367104341163703,-0.31928728418598884,49.42936538709282,0.6956693284296394,0.5371759243288832,-0.04064906967422783,-0.1502239292099312,269.563019311056,0.9380652742188376,0.7639684149255002
TC_RE,-0.09487546763931033,-0.3104960199306321,227.2669191060539,0.8265040226748965,0.4569456571098527,0.17842398302614948,0.11526157720643605,-35.400177010092,0.6592510095688178,0.7675349081894153
TC_ME,-0.9223630506375313,-1.097583317318644,18.9968870240413,0.12568575092237533,0.0646622765372933,-0.7920705857983676,-0.8228028402322589,3.879989357629622,0.15506743468578468,0.13643812713987397
TC_EE,-0.7577888616257096,-0.8436697227139651,11.33308569672197,0.15263634623518385,0.10120348904183991,-0.06063787012395398,-0.13016851438389174,114.66538009630855,0.8971945387154178,0.7757407929802629
TC_GR,0.5591417918310841,0.38766479573707985,-30.667891150194553,0.34151986120685485,0.5030589094138672,-0.5890474403441941,-0.5996239065376202,1.7955202703615927,0.37367278614114496,0.3627082044324139
TC_OT,0.9995589771802542,0.9582600756551009,-4.131712331938346,0.2407887116958387,0.25655478931168585,0.15281795291815253,0.13656696542890545,-10.634213571720148,0.8689229239098848,0.8822066244328804
StartupForProf,-1.2174290779491586,0.11283427907117904,-109.2682424886102,0.12092124994862441,0.7755560154510932,-1.2624094877843173,-1.6477173957753852,30.521626438924375,0.04971687024467912,0.00021311832279973121
OtherForProf,-0.8099194620313004,-0.44921069969682276,-44.53637420069029,0.0993408412050507,0.10295827647614014,-1.1536720262703715,-0.8769814207759785,-23.983471835482337,0.011449593138319813,0.0003710362673062143
middle,-0.3395299433914829,0.22404524005727694,-165.98688699422001,0.3926559697361205,0.4423547754325273,0.2744647653063235,0.3803510513703298,38.57919101048514,0.4100303807740907,0.14636188521102286
late,1.0434098097979676,1.0877424996707807,4.248828164783801,0.048541597838215905,0.005057798930243831,1.1027589062138847,1.1557690943660848,4.8070514646034965,0.02574547607973565,0.0016453670862244902
OPEN,0.0673775247828281,-0.0213127604719899,-131.63185430258147,0.8125279442986743,0.9384662559195625,-0.05807935908909145,-0.06643214651509279,14.38167975164549,0.8193606651853786,0.7909648287272574
