,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
TC_TF,-1.066045673310653,-0.7127309026199177,-33.14255472690024,0.010626974843268258,0.056634939912662066,-0.4126253982956847,0.06474015238144447,-115.68981275724867,0.27139026267555055,0.8426717022969503
TC_DG,-1.2718045281957762,-0.8267921820548362,-34.990624445428665,0.004992244809557246,0.03583523128342582,-0.13413887483691472,0.45029860971968266,-435.695830360254,0.7254826060682268,0.1494243428766272
TC_TS,-1.4734838369328025,-1.235779122611949,-16.132156211204773,0.005191878829818738,0.014485765258332001,0.07179192025249151,0.4299453146769923,498.8770228806789,0.8534862780500417,0.22443552882522244
TC_BE,-0.38037937894914803,0.02579417416944223,-106.78117048319032,0.45671700955465266,0.9572204758250732,-0.10821882739580466,0.3749377468726848,-446.4625850189355,0.8286894017277032,0.41705206410655693
TC_RE,-0.3878671814956384,0.018393904691715608,-104.74232045639634,0.3467339626817403,0.96131432566787,0.16681010633054583,0.6553647393024704,292.88071551481397,0.6632771227417229,0.060850768820763776
TC_ME,-1.1583236127639414,-0.6844553754888375,-40.909831419596124,0.0492706013428825,0.19691302024432222,-0.7935806473446708,-0.16572147870225543,-79.11724797514138,0.14962034972890192,0.7362174407153035
TC_EE,-0.8845097200605858,-0.5198185460466466,-41.23088370232485,0.08474636067148288,0.28711142556381164,-0.0917443200184385,0.3582957092895183,-490.53721169605825,0.8393602289598202,0.3958342673748936
TC_GR,0.3596239260726025,0.7504543553609896,108.67753810392594,0.5301815258725089,0.14333499539888792,-0.5969794395352848,-0.03610318869539007,-93.9523564289761,0.36207672519109624,0.9525032682003545
TC_OT,0.9320001557953614,1.6086867965200808,72.6058506017352,0.2638480028620426,0.04146985740364071,0.13186854368728868,0.905868234310946,586.9479323735537,0.8854113035383049,0.29502538566185166
ForProf,-0.3104620856267118,-0.188659909138795,-39.232544689649245,0.21942078128411224,0.4358094505957405,-1.0149086682437833,-0.8945859755080714,-11.855519269918204,1.4727390821875328e-05,8.167368065214371e-05
awardAmount,0.15588850489149686,0.10681581784016035,-31.479349350032315,0.03373249076440909,0.12434266569889565,0.20989040679888174,0.16193102171560275,-22.849727062196777,0.002129992369905889,0.012066129946877646
