,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
awardAmount,0.1635322827438062,0.09318056773357274,-43.02007764451515,0.051888958486568694,0.18731622469125808,0.13087768215578613,0.179249616391727,36.959650751121096,0.08877728871091282,0.006329584676452442
TC_TF,-1.111427959309052,-0.7317494368000358,-34.16132546683936,0.029255237303926446,0.05219434578012706,-1.0404749793384718,0.05314263429775477,-105.10753601509406,0.021837319668764874,0.87093635075489
TC_DG,-1.1627673938028067,-0.8292893456273746,-28.6796869221452,0.034679869824966354,0.03672058273359964,-0.7033589659620517,0.4302422439312041,-161.16965372620513,0.13041236757171454,0.16965616501415703
TC_TS,-1.3810126530335198,-1.2680000237571012,-8.183315991216745,0.023522405347068665,0.013031454786351144,-0.5301216169578769,0.4372981405105128,-182.49015443285728,0.2611174221090813,0.21815905042227224
TC_BE,-0.31049588306123044,0.09489437715761374,-130.56220141215218,0.6219555635485663,0.8449307065695377,-0.8866018596753958,0.3085101671015252,-134.79692307598785,0.1324269282354253,0.5055202464761184
TC_RE,-0.2995076058206069,0.09224614823153655,-130.79926734374428,0.5618330542561021,0.8092527507129861,-0.5612394104519238,0.5755726845798546,-202.55386094793116,0.23976889586244254,0.10328601294835212
TC_ME,-0.9256870876495814,-0.6174210194487968,-33.301325287306874,0.17758192223957536,0.2474358008781069,-1.3828294206586293,-0.2309447495401009,-83.29911512657114,0.02847053442706234,0.6394688340103847
TC_EE,-0.6957377468014693,-0.475129200759518,-31.708577988783833,0.2676563824880682,0.3301251577833555,-0.8391856368087571,0.2957110326724861,-135.2378567627792,0.12843609870486522,0.48664274429614673
TC_GR,0.2633117634716405,0.783651989966555,197.61374107805742,0.6780063941546305,0.1280721209446923,-1.3020351654135478,-0.07925454747924732,-93.91302557837793,0.06197608064470959,0.8961673175062633
TC_OT,1.0413495324965418,1.6345931586510043,56.968732173165165,0.241954335317075,0.038824507804506664,-0.34417689058781165,0.8723954575918125,-353.47299061882643,0.7170247314978748,0.3131268338532027
StartupForProf,0.10144155009588965,0.2320847191058351,128.78664500537738,0.8053709133969673,0.5495508091111018,-1.7570393639180273,-1.5579575750879822,-11.330525252781591,9.115648375800332e-05,0.00043662639934283264
OtherForProf,-0.41672812061491005,-0.32341225031899246,-22.39250621201752,0.14792404364526462,0.2191361807484421,-1.000637840085103,-0.7608540814981679,-23.96309123853859,6.923476947950917e-05,0.00139367729393309
